iter	Passed	Remaining
638	24553	13871
639	24593	13833
640	24627	13792
641	24658	13750
642	24689	13708
643	24722	13666
644	24754	13624
645	24785	13582
646	24817	13540
647	24851	13499
648	24888	13460
649	24922	13419
650	24955	13378
651	24995	13341
652	25041	13306
653	25087	13272
654	25123	13233
655	25154	13190
656	25189	13150
657	25222	13109
658	25255	13068
659	25293	13030
660	25325	12988
661	25357	12946
662	25388	12904
663	25420	12863
664	25459	12825
665	25489	12783
666	25520	12741
667	25557	12702
668	25592	12662
669	25627	12622
670	25677	12590
671	25714	12551
672	25762	12517
673	25838	12497
674	25874	12458
675	25908	12417
676	25938	12375
677	25972	12335
678	26006	12294
679	26035	12252
680	26078	12215
681	26108	12173
682	26139	12132
683	26171	12090
684	26210	12053
685	26244	12012
686	26278	11972
687	26309	11930
688	26341	11890
689	26377	11850
690	26409	11809
691	26438	11767
692	26482	11731
693	26515	11691
694	26546	11649
695	26580	11609
696	26611	11568
697	26643	11527
698	26674	11486
699	26704	11444
700	26737	11404
701	26768	11363
702	26804	11324
703	26839	11284
704	26873	11244
705	26904	11204
706	26946	11167
707	26980	11127
708	27010	11086
709	27043	11045
710	27080	11007
711	27114	10967
712	27149	10928
713	27181	10887
714	27216	10848
715	27248	10808
716	27285	10769
717	27317	10729
718	27350	10688
719	27391	10652
720	27424	10612
721	27464	10575
722	27497	10535
723	27534	10496
724	27568	10456
725	27605	10418
726	27640	10379
727	27679	10341
728	27716	10303
729	27746	10262
730	27779	10222
731	27813	10183
732	27845	10142
733	27878	10102
734	27910	10062
735	27939	10021
736	27971	9981
737	28010	9944
738	28043	9904
739	28075	9864
740	28106	9823
741	28139	9784
742	28173	9745
743	28206	9705
744	28240	9666
745	28271	9625
746	28307	9587
747	28339	9547
748	28371	9507
749	28405	9468
750	28440	9429
751	28477	9391
752	28509	9351
753	28548	9314
754	28576	9273
755	28613	9234
756	28648	9196
757	28682	9157
758	28713	9117
759	28746	9077
760	28779	9038
761	28812	8999
762	28843	8959
763	28874	8919
764	28908	8880
765	28944	8842
766	28973	8801
767	29008	8763
768	29039	8723
769	29073	8684
770	29103	8644
771	29135	8604
772	29168	8565
773	29204	8527
774	29237	8488
775	29269	8448
776	29300	8409
777	29329	8369
778	29360	8329
779	29394	8290
780	29426	8251
781	29460	8212
782	29493	8173
783	29527	8135
784	29560	8096
785	29594	8057
786	29627	8018
787	29658	7979
788	29692	7940
789	29726	7902
790	29757	7862
791	29789	7823
792	29824	7785
793	29861	7747
794	29895	7708
795	29928	7670
796	29958	7630
797	29987	7590
798	30021	7552
799	30054	7513
800	30085	7474
801	30118	7435
802	30153	7397
803	30186	7358
804	30216	7319
805	30250	7281
806	30278	7241
807	30305	7201
808	30343	7163
809	30373	7124
810	30407	7086
811	30444	7048
812	30477	7010
813	30510	6971
814	30543	6933
815	30577	6894
816	30613	6857
817	30646	6818
818	30675	6779
819	30709	6741
820	30735	6701
821	30767	6662
822	30799	6623
823	30832	6585
824	30866	6547
825	30901	6509
826	30933	6470
827	30969	6433
828	31005	6395
829	31036	6356
830	31068	6318
831	31099	6279
832	31127	6240
833	31158	6201
834	31193	6164
835	31222	6125
836	31253	6086
837	31286	6048
838	31325	6011
839	31359	5973
840	31388	5934
841	31418	5895
842	31451	5857
843	31481	5818
844	31513	5780
845	31553	5743
846	31586	5705
847	31619	5667
848	31651	5629
849	31681	5590
850	31711	5552
851	31743	5514
852	31774	5475
853	31806	5437
854	31841	5400
855	31871	5361
856	31902	5323
857	31935	5285
858	31969	5247
859	32001	5209
860	32040	5172
861	32077	5135
862	32112	5097
863	32146	5060
864	32187	5023
865	32218	4985
866	32250	4947
867	32282	4909
868	32315	4871
869	32346	4833
870	32377	4795
871	32408	4757
872	32439	4719
873	32470	4681
874	32503	4643
875	32536	4605
876	32566	4567
877	32598	4529
878	32632	4492
879	32665	4454
880	32699	4416
881	32730	4378
882	32763	4341
883	32795	4303
884	32826	4265
885	32860	4228
886	32894	4190
887	32924	4152
888	32952	4114
889	32990	4077
890	33023	4039
891	33055	4002
892	33090	3964
893	33123	3927
894	33164	3890
895	33195	3853
896	33228	3815
897	33262	3778
898	33293	3740
899	33325	3702
900	33360	3665
901	33389	3627
902	33420	3590
903	33449	3552
904	33485	3515
905	33534	3479
906	33777	3463
907	33829	3427
908	33900	3393
909	33953	3358
910	33988	3320
911	34022	3282
912	34055	3245
913	34090	3207
914	34121	3169
915	34172	3133
916	34210	3096
917	34243	3058
918	34276	3021
919	34314	2983
920	34351	2946
921	34387	2909
922	34424	2871
923	34460	2834
924	34496	2797
925	34541	2760
926	34598	2724
927	34633	2687
928	34664	2649
929	34700	2611
930	34733	2574
931	34762	2536
932	34794	2498
933	34826	2460
934	34859	2423
935	34894	2385
936	34930	2348
937	34961	2310
938	34996	2273
939	35034	2236
940	35069	2198
941	35100	2161
942	35140	2124
943	35181	2087
944	35217	2049
945	35253	2012
946	35284	1974
947	35318	1937
948	35350	1899
949	35383	1862
950	35414	1824
951	35448	1787
952	35483	1749
953	35520	1712
954	35554	1675
955	35589	1638
956	35626	1600
957	35662	1563
958	35694	1526
959	35727	1488
960	35758	1451
961	35794	1413
962	35827	1376
963	35860	1339
964	35893	1301
965	35937	1264
966	35969	1227
967	36001	1190
968	36032	1152
969	36066	1115
970	36099	1078
971	36140	1041
972	36173	1003
973	36211	966
974	36251	929
975	36282	892
976	36320	855
977	36355	817
978	36388	780
979	36416	743
980	36453	706
981	36487	668
982	36532	631
983	36563	594
984	36593	557
985	36626	520
986	36659	482
987	36690	445
988	36724	408
989	36755	371
990	36782	334
991	36819	296
992	36851	259
993	36884	222
994	36913	185
995	36947	148
996	36981	111
997	37009	74
998	37043	37
999	37074	0
